"date","Pa","Rn","Tavg","Tmax","Tmin","U2","q","PET"
1979-03-16,94.96,21.3436236381531,-15.6904930114746,-8.44998779296873,-22.0499938964844,1.54884620722906,0.00113999996392522,0.165179755362244
1979-03-17,94.435,38.573136806488,-12.2932418823242,-9.2500061035156,-14.9499877929687,2.52365639310654,0.00145725000766106,0.391895545738184
1979-03-18,95.1375,36.5581121444702,-13.332991027832,-9.7500061035156,-29.4500030517578,1.88172747050097,0.00132500001927838,0.344276592132211
1979-03-19,95.8425,17.5055179595947,-15.8754867553711,-7.7500061035156,-28.65,1.33846929797347,0.00110049996874295,0.141960475905027
1979-03-20,96.0825,40.4129567146301,-13.1097473144531,-8.04999389648435,-22.15,1.22721408433305,0.00131575000705197,0.375743554072333
1979-03-21,95.665,57.5731863975525,-14.5097450256347,-5.64999999999998,-23.2500061035156,0.734566049665769,0.00133499997900799,0.393436280973414
1979-03-22,95.425,32.9641876220703,-9.60275115966795,-4.35001220703123,-13.8500122070312,1.77664665440358,0.00184174999594688,0.354315103479829
1979-03-23,94.5275,56.8422846794128,-3.00751342773435,-1.54999389648435,-7.44998779296873,2.64811235204427,0.00311925000278279,0.790330471789494
1979-03-24,93.8275,45.0812549591064,-4.11049499511716,-0.350012207031227,-8.44998779296873,1.46960321490456,0.00292299996362999,0.583777364208884
1979-03-25,94.005,12.9048833847046,-9.52949371337888,-2.85001220703123,-15.5499938964844,3.38820814957266,0.00192600002628751,0.151463607689082
1979-03-26,94.475,57.4764471054077,-14.1932548522949,-6.64999999999998,-23.3499969482422,1.42619496781263,0.00138124998193234,0.402242085466961
1979-03-27,94.9625,35.2479362487793,-10.8187545776367,-2.44998779296873,-20.3499969482422,1.64834407601336,0.00175325002055615,0.312204522346135
1979-03-28,94.995,65.6375198364258,-6.88324584960935,-2.94998779296873,-9.64999999999998,3.05303908711595,0.00231549996533431,0.758613666932152
1979-03-29,94.835,64.6443033218384,-5.20024719238279,-3.04999389648435,-11.5499938964844,1.59434864372956,0.0026642499724403,0.781151981419143
1979-03-30,95.12,45.887622833252,-8.03824462890623,-2.85001220703123,-16.5499938964844,2.20924149485802,0.00210749995312653,0.511110013869079
1979-03-31,96.0625,61.9362678527832,-12.0732482910156,-4.64999999999998,-25.8499969482422,1.18643552902591,0.00160524998500478,0.489606131948154
1979-04-01,95.9375,48.7179441452026,-11.9352478027344,-4.2500061035156,-23.0499938964844,1.1362084731961,0.00160550003056414,0.394215946938364
1979-04-02,95.075,55.9047813415527,-5.04900970458982,-1.04999389648435,-9.94998779296873,1.5744840921187,0.00267724995501339,0.687858952115948
1979-04-03,94.4325,41.5410461425781,-2.77750244140623,-0.149999999999977,-6.94998779296873,1.70354366552522,0.00327000004472211,0.543699910021532
1979-04-04,93.9475,22.7750835418701,-1.69650115966795,0.649987792968773,-5.7500061035156,3.08114161894357,0.00355524988844991,0.319919758901348
1979-04-05,94.6575,77.2140474319458,-2.57449951171873,0.649987792968773,-7.85001220703123,2.26339499738141,0.00325125001836568,1.04721537625583
