date,U2,Rn,Pa,q,Tair,PET
2017-09-05,1.30439172576105,105.53207397461,93.119203125,0.00782124581746757,15.07624206543,3.23369594151613
2017-09-06,1.87491647676275,101.689750671387,93.23784375,0.00484626251272857,10.527612304688,3.25057911256
2017-09-07,1.08892666886943,99.882499694825,93.963337890625,0.00509019661694765,9.62659606933602,2.73453608569829
2017-09-08,0.632761696527375,103.023551940918,94.625916015625,0.00459624000359327,10.283036804199,2.87928843538714
2017-09-09,0.496850659939054,101.860054016113,94.50917578125,0.00495931948535144,12.763192749023,3.09606444006944
2017-09-10,2.20905163496435,108.056846618652,93.90598046875,0.005573331261985,12.144746398926,3.57053504369592
2017-09-11,1.60300767261844,81.707824707031,94.582556640625,0.00587476824875921,10.942628479004,2.49659566414537
2017-09-12,1.28796837265282,56.263946533203,95.055896484375,0.00650544790551066,10.178826904297,1.58811180324548
2017-09-13,0.302020154497242,94.334190368652,95.2803515625,0.00639417360071093,12.923181152344,2.61090979939937
2017-09-14,0.959618423166132,91.144027709961,95.138671875,0.00599487288855016,13.711839294434,2.95316813267596
2017-09-15,0.787651609648228,69.510513305664,94.516193359375,0.00706889503635466,14.664888000488,2.34943565687906
2017-09-16,0.659402351003892,47.423027038574,94.026544921875,0.00815274578053504,12.5470977783201,1.31193322336357
2017-09-17,0.488669790565328,76.75700378418,93.875921875,0.00629016873426735,12.502931213379,2.27273884833868
2017-09-18,0.806111798366402,63.648094177247,93.78959375,0.00731727574020624,11.981729125977,1.77618917285196
2017-09-19,1.10601034417504,38.423419952392,94.317169921875,0.00467563758138567,6.44629821777301,1.19911344579642
2017-09-20,1.14385136131797,68.743301391601,94.040888671875,0.00470201903954148,7.85809478759802,1.96750961701619
2017-09-21,2.16595528247452,63.454277038574,93.379400390625,0.00573445670306683,10.210992431641,2.18899363314152
2017-09-22,1.35503607723022,-2.84406280517601,92.9550859375,0.0075879980577156,9.28119049072302,0.0145852789447691
2017-09-23,0.938663317016531,36.965843200684,93.46708203125,0.00552351924125105,6.75074157714801,0.960888510752132
2017-09-24,1.07746201880165,34.816444396973,94.079630859375,0.00484230578877032,5.22985992431603,0.918689348402969
2017-09-25,0.84125047182939,50.245475769043,93.441615234375,0.00508009956683964,6.81679687500002,1.32159268326947
2017-09-26,1.63519395507145,21.515048980712,93.699275390625,0.00359187246067449,1.78013000488301,0.743296284359907
2017-09-27,2.08879248743228,60.006061553955,93.678345703125,0.00219826807733625,-0.552770996093955,1.67347067880763
2017-09-28,2.73530906381414,51.387577056884,92.97309375,0.00271454296307638,-1.85279693603496,1.18819187877997
2017-09-29,1.72714950884113,44.931644439697,93.580767578125,0.0027930146898143,0.60711822509802,1.28468373567465
2017-09-30,1.06986494460099,65.784076690674,94.150935546875,0.00277271139202639,0.832917785645009,1.51140593246357
2017-10-01,2.13812277776395,39.893318176269,94.685345703125,0.00229273486183956,-1.60652770996097,1.19029429027096
2017-10-02,1.8569639588094,19.8117141723631,95.227271484375,0.00212233077036217,-2.660368347168,0.823031989921569
2017-10-03,0.894339383243968,38.445583343506,95.330689453125,0.00221378431888297,-0.193373107909963,1.13626381755362
2017-10-04,0.519739311685045,54.336231231689,94.5855546875,0.00326396827585995,1.78200683593803,1.20154884415418
2017-10-05,0.660527742441674,34.211521148682,94.72609765625,0.00357836618786678,1.32033691406303,0.768325283814744
2017-10-06,0.583070322490307,34.66512298584,94.920109375,0.00398748845327646,2.31682739257803,0.754248708657976
2017-10-07,0.55799461166178,19.310005187989,95.662630859375,0.00364871142664924,1.91900024414105,0.558446655541707
